,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
3972,SM3 8LN,523959,164602,6760164,249500,2001-12-06 00:00,S,1007596800.0,2001.0,257.0,60.0,36.0,51.0,13.0,26.0,53.0,18.0,51.366962,-0.220746,E00020725
3973,RH2 9NG,525416,150875,13991156,315000,2007-06-29 00:00,F,1183071600.0,2007.0,195.0,33.0,12.0,28.0,5.0,14.0,94.0,9.0,51.243273,-0.204633,E00156195
3974,SL1 2DA,497526,179305,7410819,117250,2001-03-16 00:00,F,984700800.0,2001.0,208.0,23.0,25.0,18.0,2.0,28.0,78.0,34.0,51.504265,-0.596255,E00083374
3975,LU6 3RJ,503712,217810,11642805,151000,2005-10-21 00:00,T,1129849200.0,2005.0,227.0,43.0,34.0,37.0,8.0,29.0,69.0,7.0,51.849262,-0.495751,E00088770
3976,TW2 6AS,513150,173008,8479005,249000,2002-07-17 00:00,S,1026860400.0,2002.0,248.0,37.0,28.0,37.0,13.0,33.0,78.0,22.0,51.44476,-0.373253,E00019311
3977,W13 9SY,516664,179776,12529726,410000,2006-10-20 00:00,S,1161298800.0,2006.0,284.0,24.0,12.0,25.0,7.0,25.0,165.0,26.0,51.504808,-0.320727,E00006883
3978,N19 3HZ,529813,186781,2405708,60000,1997-04-17 00:00,F,861231600.0,1997.0,238.0,13.0,16.0,14.0,0.0,25.0,152.0,18.0,51.564937,-0.128594,E00013815
3979,GU9 9TD,485763,149258,9672898,169950,2003-10-27 00:00,T,1067212800.0,2003.0,221.0,30.0,30.0,34.0,10.0,43.0,60.0,14.0,51.236025,-0.772974,E00157555
3980,TN1 1SS,558810,138984,5514219,325000,2000-11-06 00:00,F,973468800.0,2000.0,261.0,14.0,11.0,34.0,2.0,32.0,159.0,9.0,51.128114,0.268152,E00125974
3981,IG5 0ER,543604,189581,8432246,115000,2002-07-04 00:00,F,1025737200.0,2002.0,292.0,43.0,48.0,36.0,1.0,37.0,89.0,38.0,51.586791,0.071428,E00018393
3982,DA4 9EG,555679,169780,7404555,84995,2001-11-02 00:00,T,1004659200.0,2001.0,211.0,33.0,26.0,40.0,15.0,26.0,58.0,13.0,51.405686,0.236741,E00122733
3983,GU6 8TJ,503956,138562,6964751,110000,2001-03-09 00:00,F,984096000.0,2001.0,259.0,41.0,28.0,53.0,11.0,25.0,82.0,19.0,51.136903,-0.5155,E00157369
3984,NW1 5SS,527921,182072,17717763,820000,2012-11-09 00:00,F,1352419200.0,2012.0,245.0,14.0,6.0,13.0,0.0,8.0,183.0,21.0,51.523085,-0.15754,E00023921
3985,EN1 4EW,534753,198342,9325947,105000,2003-06-06 00:00,F,1054854000.0,2003.0,173.0,58.0,21.0,20.0,1.0,15.0,37.0,21.0,51.667703,-0.052924,E00007672
3986,KT3 4JN,521452,168769,12312989,320000,2005-03-10 00:00,S,1110412800.0,2005.0,275.0,15.0,22.0,32.0,6.0,36.0,145.0,19.0,51.404938,-0.255475,E00014753
